iter	Logloss
0	0.683796988
1	0.6747109113
2	0.6647614857
3	0.6565395995
4	0.6477873529
5	0.6401298359
6	0.6320118689
7	0.6247835353
8	0.6182446297
9	0.6109857724
10	0.604064222
11	0.5976720174
12	0.5915341479
13	0.5857659942
14	0.5796884209
15	0.5739982195
16	0.5685907945
17	0.5640086538
18	0.5591811787
19	0.5549830323
20	0.5508806503
21	0.5463401129
22	0.5421722058
23	0.5385200598
24	0.5347776426
25	0.5303255669
26	0.5262600623
27	0.5223647741
28	0.5185764945
29	0.5149252704
30	0.5117597673
31	0.5087213381
32	0.505669902
33	0.5027464923
34	0.5000051452
35	0.4972510701
36	0.4947880006
37	0.4923305654
38	0.4900375437
39	0.4875892856
40	0.4856847247
41	0.4835105389
42	0.4811990758
43	0.4788438818
44	0.476388351
45	0.4742167857
46	0.4723672801
47	0.4706231756
48	0.4687333006
49	0.4668879327
50	0.464976087
51	0.4633121864
52	0.4615628479
53	0.459980954
54	0.4584554147
55	0.4569660257
56	0.4554314453
57	0.4538569451
58	0.4524913553
59	0.4512011059
60	0.4500719223
61	0.4488930654
62	0.4477656088
63	0.4467380479
64	0.445500152
65	0.4444864729
66	0.4433806525
67	0.442354211
68	0.4412975999
69	0.4402968496
70	0.439207321
71	0.4381150877
72	0.4371759572
73	0.4360912823
74	0.4351427376
75	0.4343815592
76	0.4335607744
77	0.4326287642
78	0.4316715288
79	0.4307625811
80	0.4297969592
81	0.4290008689
82	0.4282105566
83	0.4274526846
84	0.4266980557
85	0.4259440217
86	0.4252291702
87	0.4244354645
88	0.4237683928
89	0.4233837948
90	0.4225954768
91	0.421719098
92	0.4208318398
93	0.4201966992
94	0.4195121625
95	0.4188265808
96	0.4180293738
97	0.4172498905
98	0.4166160076
99	0.4160320413
100	0.4154748216
101	0.4147533851
102	0.4141510684
103	0.4135438121
104	0.4129925985
105	0.412444456
106	0.4119381854
107	0.4114661209
108	0.4109127846
109	0.4104161363
110	0.4098102771
111	0.4092915953
112	0.4087486705
113	0.4081972793
114	0.4075578145
115	0.4070927962
116	0.4064994657
117	0.4060899897
118	0.4054082067
119	0.4049051317
120	0.404531224
121	0.4040691486
122	0.4036126577
123	0.4032366291
124	0.4027201664
125	0.4022878638
126	0.4018275386
127	0.401410689
128	0.4009027123
129	0.4004925681
130	0.4001021063
131	0.3996857598
132	0.399283254
133	0.3987998431
134	0.3984336607
135	0.3980266596
136	0.3976185198
137	0.3972688981
138	0.3969065018
139	0.3965514929
140	0.3960566476
141	0.3956349509
142	0.3952605244
143	0.3947907337
144	0.394444255
145	0.3940648171
146	0.3936344543
147	0.3932689419
148	0.3927330154
149	0.3923569939
150	0.3919544995
151	0.3915582707
152	0.3912307145
153	0.3909493684
154	0.3905776057
155	0.390297692
156	0.3899109202
157	0.3894485274
158	0.3891054833
159	0.388710436
160	0.3883325535
161	0.3880640404
162	0.3878015117
163	0.3874598694
164	0.3871405501
165	0.3868372203
166	0.3865377249
167	0.3862266881
168	0.3860272142
169	0.3857728289
170	0.3853498311
171	0.3850288224
172	0.3846656608
173	0.3842951985
174	0.3840313735
175	0.3836868813
176	0.3833213222
177	0.3830349174
178	0.3826923633
179	0.3824361439
180	0.3821320058
181	0.381794784
182	0.3814359672
183	0.3810667887
184	0.3807678424
185	0.3804580047
186	0.380191224
187	0.3798674829
188	0.3796146671
189	0.3793213389
190	0.3790625614
191	0.3787715155
192	0.378447941
193	0.3780417297
194	0.3777952376
195	0.3775167994
196	0.3772225606
197	0.3769443715
198	0.3767145725
199	0.3763545595
200	0.3760259209
201	0.3757090794
202	0.3754075917
203	0.375110424
204	0.3748015021
205	0.3745226056
206	0.3741434699
207	0.3738350853
208	0.3735414959
209	0.3732526701
210	0.373176817
211	0.3729392257
212	0.3727052659
213	0.3724796144
214	0.3720927551
215	0.3718560895
216	0.3716117226
217	0.3711962796
218	0.3709427134
219	0.3706117043
220	0.3703910574
221	0.3699748094
222	0.369735248
223	0.3694395581
224	0.3692217659
225	0.3689795183
226	0.36867788
227	0.3683986487
228	0.3681355719
229	0.3679427769
230	0.3677384813
231	0.3674201215
232	0.3670874144
233	0.3667966879
234	0.3665935802
235	0.3664109057
236	0.3661948116
237	0.3659774428
238	0.3656066342
239	0.3653083229
240	0.3651520105
241	0.3649291823
242	0.364679718
243	0.3643923797
244	0.3640164653
245	0.3637667637
246	0.3634914967
247	0.3633077781
248	0.3630698328
249	0.3628744906
250	0.3625602205
251	0.3623164076
252	0.3620946283
253	0.3617976499
254	0.3616036995
255	0.361355284
256	0.3611235376
257	0.3608180564
258	0.3606194298
259	0.3603186773
260	0.360012977
261	0.3597216664
262	0.3594285745
263	0.3591183849
264	0.3588641039
265	0.3586879801
266	0.3584350191
267	0.3581829114
268	0.3579724387
269	0.3577278309
270	0.3575097652
271	0.3572395481
272	0.3569209183
273	0.3566560417
274	0.3564074366
