iter	Passed	Remaining
421	2022	2770
422	2027	2765
423	2029	2756
424	2035	2754
425	2038	2747
426	2043	2742
427	2046	2735
428	2049	2727
429	2051	2718
430	2053	2710
431	2055	2702
432	2060	2698
433	2062	2690
434	2064	2681
435	2070	2678
436	2074	2673
437	2079	2667
438	2085	2664
439	2087	2656
440	2095	2655
441	2097	2647
442	2100	2641
443	2110	2642
444	2114	2637
445	2116	2628
446	2117	2620
447	2128	2622
448	2131	2615
449	2134	2608
450	2138	2602
451	2141	2595
452	2149	2594
453	2160	2598
454	2162	2589
455	2163	2581
456	2165	2573
457	2167	2565
458	2169	2557
459	2176	2554
460	2177	2546
461	2195	2556
462	2199	2551
463	2203	2545
464	2205	2537
465	2210	2533
466	2214	2527
467	2216	2519
468	2220	2514
469	2223	2507
470	2225	2500
471	2227	2491
472	2229	2484
473	2230	2475
474	2232	2467
475	2234	2460
476	2242	2458
477	2247	2454
478	2250	2447
479	2253	2441
480	2255	2433
481	2260	2429
482	2263	2422
483	2264	2414
484	2271	2412
485	2273	2404
486	2275	2396
487	2281	2393
488	2284	2387
489	2289	2382
490	2295	2380
491	2300	2375
492	2307	2373
493	2312	2368
494	2317	2364
495	2320	2357
496	2323	2351
497	2326	2345
498	2329	2338
499	2335	2335
500	2342	2333
501	2346	2327
502	2348	2320
503	2350	2312
504	2354	2308
505	2357	2301
506	2362	2297
507	2366	2291
508	2370	2286
509	2374	2281
510	2378	2275
511	2382	2271
512	2395	2273
513	2404	2273
514	2406	2266
515	2407	2258
516	2412	2253
517	2414	2246
518	2417	2240
519	2420	2233
520	2421	2226
521	2428	2224
522	2432	2218
523	2436	2213
524	2439	2206
525	2444	2202
526	2448	2197
527	2451	2191
528	2453	2184
529	2455	2177
530	2463	2175
531	2465	2168
532	2467	2162
533	2469	2154
534	2476	2152
535	2478	2145
536	2483	2141
537	2485	2134
538	2495	2134
539	2500	2130
540	2503	2124
541	2519	2129
542	2525	2125
543	2527	2118
544	2530	2112
545	2531	2105
546	2538	2102
547	2540	2095
548	2547	2092
549	2552	2088
550	2558	2084
551	2561	2078
552	2562	2071
553	2564	2064
554	2566	2057
555	2571	2053
556	2573	2046
557	2575	2039
558	2577	2033
559	2585	2031
560	2586	2024
561	2589	2018
562	2599	2017
563	2607	2015
564	2614	2012
565	2625	2013
566	2632	2010
567	2645	2012
568	2653	2009
569	2656	2003
570	2666	2003
571	2667	1996
572	2678	1996
573	2694	1999
574	2704	1998
575	2706	1992
576	2708	1985
577	2711	1979
578	2715	1974
579	2717	1968
580	2719	1961
581	2721	1954
582	2730	1953
583	2732	1946
584	2734	1939
585	2736	1932
586	2741	1928
587	2742	1921
588	2744	1915
589	2746	1908
590	2748	1902
591	2758	1901
592	2761	1895
593	2764	1889
594	2768	1884
595	2772	1879
596	2780	1876
597	2781	1870
598	2783	1863
599	2785	1856
600	2793	1854
601	2798	1850
602	2800	1843
603	2802	1837
604	2806	1832
605	2808	1826
606	2814	1822
607	2817	1816
608	2820	1810
609	2826	1806
610	2833	1804
611	2847	1805
612	2850	1799
613	2854	1794
614	2857	1788
615	2870	1789
616	2871	1782
617	2873	1776
618	2876	1770
619	2881	1766
620	2886	1761
621	2887	1755
622	2891	1749
623	2894	1743
624	2896	1738
625	2900	1732
626	2910	1731
627	2915	1726
628	2916	1720
629	2932	1721
630	2937	1718
631	2943	1713
632	2948	1709
633	2951	1703
634	2970	1707
635	2972	1701
636	2975	1695
637	2978	1689
638	2980	1683
639	2984	1679
640	2987	1673
641	2993	1669
642	2999	1665
643	3004	1660
644	3016	1660
645	3019	1654
646	3021	1648
647	3024	1642
648	3027	1637
649	3030	1631
650	3032	1625
651	3035	1620
652	3041	1616
653	3046	1611
654	3049	1606
655	3051	1599
656	3054	1594
657	3057	1589
658	3068	1587
659	3074	1583
660	3077	1578
661	3080	1572
662	3083	1567
663	3086	1561
664	3088	1555
665	3106	1558
666	3111	1553
667	3114	1548
668	3118	1542
669	3120	1536
670	3121	1530
671	3125	1525
672	3127	1519
673	3130	1514
674	3132	1508
675	3134	1502
676	3137	1496
677	3144	1493
678	3151	1490
679	3154	1484
680	3160	1480
681	3163	1475
682	3167	1469
683	3169	1464
684	3172	1458
685	3178	1454
686	3183	1450
687	3185	1444
688	3198	1443
689	3207	1440
690	3209	1435
691	3211	1429
692	3214	1423
693	3219	1419
694	3224	1415
695	3228	1410
696	3239	1408
697	3242	1402
698	3257	1402
699	3263	1398
700	3266	1393
701	3271	1388
702	3273	1383
703	3275	1377
704	3289	1376
705	3295	1372
706	3300	1367
707	3304	1362
708	3307	1357
709	3309	1351
710	3311	1346
711	3317	1342
712	3327	1339
713	3335	1336
714	3340	1331
715	3347	1327
716	3356	1324
717	3357	1318
718	3359	1312
719	3361	1307
720	3364	1301
721	3368	1297
722	3376	1293
723	3378	1287
724	3381	1282
725	3383	1276
726	3396	1275
727	3398	1269
728	3402	1264
729	3404	1259
730	3406	1253
731	3409	1248
732	3412	1243
733	3420	1239
734	3423	1234
735	3425	1228
736	3427	1223
737	3428	1217
738	3433	1212
739	3437	1207
740	3439	1202
741	3447	1198
742	3449	1193
743	3458	1189
744	3460	1184
745	3467	1180
746	3472	1175
747	3481	1172
748	3483	1167
749	3484	1161
750	3488	1156
751	3490	1151
752	3496	1146
753	3498	1141
754	3513	1140
755	3520	1136
756	3522	1130
757	3524	1125
758	3525	1119
759	3530	1114
760	3532	1109
761	3536	1104
762	3539	1099
763	3544	1094
764	3547	1089
765	3549	1084
766	3552	1079
767	3557	1074
768	3561	1069
769	3564	1064
770	3566	1059
771	3568	1053
772	3577	1050
773	3580	1045
774	3586	1041
775	3592	1036
776	3595	1031
777	3597	1026
778	3598	1020
779	3600	1015
780	3603	1010
781	3608	1005
782	3610	1000
783	3612	995
784	3618	991
785	3625	986
786	3636	984
787	3638	978
788	3650	976
789	3654	971
790	3657	966
791	3660	961
792	3664	956
793	3666	951
794	3670	946
795	3672	941
796	3674	935
797	3675	930
798	3677	925
799	3688	922
800	3693	917
801	3697	912
802	3698	907
803	3704	903
804	3707	898
805	3709	892
806	3722	890
807	3724	884
808	3731	880
809	3732	875
810	3734	870
811	3740	866
812	3744	861
813	3752	857
814	3761	853
815	3773	850
816	3775	845
817	3777	840
818	3779	835
819	3781	830
820	3783	824
821	3785	819
822	3791	815
823	3796	810
824	3802	806
825	3803	801
826	3805	796
827	3807	790
828	3812	786
829	3814	781
830	3816	776
831	3819	771
832	3821	766
833	3823	761
834	3825	756
835	3830	751
836	3833	746
837	3837	741
838	3844	737
839	3847	732
840	3850	728
841	3853	723
842	3863	719
843	3867	714
844	3868	709
845	3870	704
846	3879	700
847	3881	695
848	3885	691
849	3887	685
850	3897	682
851	3906	678
852	3912	674
853	3914	669
854	3918	664
855	3923	660
